sample_size,experiment_id,coeff_0,coeff_1,coeff_2,coeff_3,coeff_4,coeff_5,coeff_6,coeff_7,coeff_8
5,0,-1.0555055974234734e+17,1.050082662281548e+16,-51469577373948.09,-449570847233.21655,-1005393872.1480271,9218412.195172295,120068.55855432134,655.6151255273303,-0.6294812693034986
5,1,-446385614939956.6,37820173523040.4,189046065819.19382,-14498310220.2424,-140588383.25811097,-200068.82107292564,12880.786098378105,254.23466986133977,3.3711403319670303
5,2,346840441805470.25,-19136036395446.08,184610834531.66855,2529489390.463179,-11651285.940109776,-491625.7581386525,-2384.3303054605303,125.46401042941585,4.487242348773132
5,3,-8.694914916304202e+17,2.3455774949373924e+16,-74349731282004.02,-1008125171343.8268,-1759447008.5321698,26593741.44853404,251980.04649563666,825.4634243686298,-6.0145852707032565
5,4,5772117101536526.0,-655490368102466.6,22095963358317.0,-214176647553.47812,-419134945.96641743,4760565.068833483,52265.357606860685,355.0797976315539,2.0625775330021114
5,5,3.044907170621718e+16,-2689180089696071.5,24868624391548.344,69192929986.8534,-502639045.14576185,-4961979.097194552,-7620.703374972944,280.08098147294845,4.502632838991921
5,6,572352408833516.4,-115125940976774.67,6094726040206.057,-61311081961.795425,-467344430.8094077,211020.42848374008,29440.525796423175,346.792132116732,2.9267458329487415
5,7,7591373898856253.0,-500609559626211.75,9116559476818.744,-17105954810.114162,-467545040.46856266,-1546080.520232144,16647.447080771348,319.41087356580624,3.3903751189859803
5,8,-3.2855938646449036e+16,969632061764306.6,-2641157802252.18,-64145728703.681915,-300717702.48022497,1374210.3881469965,37243.26309952706,362.1718575872313,1.7578925965690453
5,9,8823931863703053.0,-446639797649828.9,5528157992847.387,9438601727.421204,-278247970.4020419,-2076623.4112303797,4893.635728602006,273.59942307864355,3.9301605867497513
5,10,2573599561069703.0,-557484815227076.7,21586266225869.5,-234611501783.15448,-261046228.85497782,5820542.336208733,54773.52609278406,347.2769744279085,1.9269579668836354
5,11,2.325209871056158e+16,-1697067651940181.8,35799797364295.62,-174953311610.25494,-1073882117.5668223,850850.6407799739,44991.270013093,405.00511416465434,2.7064906205032058
5,12,-1.1650348070768634e+17,1830157672954366.5,3152970427212.004,-65816475717.05423,-561205895.8952764,-1346245.9873678023,19424.57415536005,340.1089155357775,3.533191608731307
5,13,2.513777951275774e+17,-1.100670093304095e+16,119122612088707.86,140509785906.37283,-2635668743.1470647,-17879936.88044892,-36183.134327512635,423.02134756854605,6.488520900969634
5,14,-149339834457002.5,-164670881733483.84,6074191542741.995,-12297973401.951048,-410868219.1547649,-2099761.9562452557,9886.86679745364,307.9344660667334,3.8378801322033596
5,15,1566322514570353.8,-610367100306247.6,15406825816412.164,-69436862871.72084,-633701866.3133613,-318937.03427401284,29238.997463713615,351.287329836013,2.9275156949207886
