sample_size,experiment_id,coeff_0,coeff_1,coeff_2,coeff_3,coeff_4,coeff_5,coeff_6,coeff_7,coeff_8
5,0,1.3064955074642077e+21,-1.065825034009686e+19,666291021336281.2,88402427219690.61,211224731427.46268,-188869732.1797452,-2778180.010602088,-6637.105672633922,31.151181535828737
5,1,3.4614483460070314e+19,-6.522336325891657e+17,2720664169658221.0,2674348616035.7983,-17392908359.655716,-52710840.11148759,26779.178032249954,798.7601985834451,4.225864262927862
5,2,4.379821862641013e+19,-8.406444985918048e+17,4310027185495642.5,-330979453464.4293,-27173933758.05801,-47611713.247930355,95260.82702584806,913.2129746595076,3.8399052714623787
5,3,4.315863409180731e+19,-6.951001273313728e+17,2539233963939163.0,3419339201429.9927,-12953051388.702099,-53380840.41132013,-18510.099663007186,696.4402642808266,4.588342138455575
5,4,1.1555757289527035e+20,-1.9637308857050952e+18,8589298287148978.0,680007643911.7124,-42627276342.79472,-71076180.79233432,111250.64474608544,1020.7322151513348,3.876150374908163
5,5,1.8134423691280302e+20,-2.5570692308040084e+18,8451771893569884.0,7204925175393.878,-32147919666.582302,-92934122.7809923,-2226.967197013,883.0031154585816,4.4806697390582055
5,6,3.292693103491648e+18,-2.5516126994916176e+17,1369157811860298.8,1603426788853.853,-8342785157.667526,-37216581.1142334,-17743.80260230306,604.8160157941479,4.636481543991586
5,7,1.8412634803902523e+18,-2.4359340412996675e+17,3103242690281409.5,-6736880699115.846,-24388553551.81652,-12732303.202442214,161834.93342900783,910.5379812491243,3.4006348123835752
5,8,2.9783787118545465e+19,-7.339750810601475e+17,5747714173147433.0,-11304779494207.137,-31038271841.05719,13522191.764967475,256302.92271002216,975.2402856382254,2.7680384650413985
5,9,5.135540664644329e+19,-7.599719138205434e+17,2786078483248752.5,2872184358845.646,-15901323392.407396,-51700155.24828736,14534.725279070763,765.5558150329149,4.319316538404266
5,10,1.5896203495648821e+19,-4.571081530394607e+17,2741116259537628.0,5528958486087.032,-13748295499.676596,-112575560.50282767,-305739.6632090797,343.01685409171773,9.439142652400655
5,11,-7.539243387176353e+21,3.6334988576451584e+19,1.7898311359156906e+16,-136083671780581.02,-334780341291.4705,-53188167.590454556,1671639.8668159905,4303.726018846731,-3.6047695876518486
5,12,7.023928044808682e+19,-6.268417394224751e+17,634401628479842.0,5013769559169.576,2414534426.289383,-38701937.78168261,-99808.23452636944,424.37700049000097,5.175678206417666
5,13,3.38323820047438e+18,-1.2968464526652531e+17,1394835313466711.0,-2670344654190.242,-14404546715.860355,-16380272.02307819,96469.18776747867,776.1876092219075,3.735512173429245
5,14,1.7516614856607609e+19,-4.175115745724777e+17,2962523934257827.5,-3277203570820.1416,-22392805997.2843,-18337991.112745654,147361.93319732405,887.0358328619565,3.3304404858305583
5,15,4.196652846628522e+19,-7.280967045146893e+17,3535823656488273.0,121309066016.62286,-24007201352.96581,-42146179.308646925,97289.8778351269,892.6418016305336,3.7504841315147766
5,16,-2.467927007120695e+19,6.869346177113994e+16,2027343114744859.8,-3972708734814.393,-23819359671.327137,-24408302.370021686,142258.62465381416,926.1974831063187,3.5294712505840082
5,17,-3.841764540787606e+19,3.1280812551433434e+17,726750747321169.1,-3475652817316.9233,-16455110893.760887,-21577750.392319065,98296.83514401873,826.0342456392823,3.81518089345912
5,18,5.3097370803647795e+17,-4.8576258254506856e+16,906874323666206.2,-2366677336231.688,-10778633296.679941,-7589640.714060434,105268.21257527031,740.4834456089412,3.4162342568791892
5,19,2.301565733618612e+19,-1.0747804112051101e+18,8832440592156966.0,-2491927189096.276,-39879075905.48561,-74795823.63251159,51431.492384141675,917.7186875706109,4.309564405290076
5,20,6.833732666952078e+20,-4.3645860236859064e+18,2599808889332357.0,19538962912426.145,11862610096.102722,-77582194.00065075,-186924.68772319672,460.87681347913764,5.312876427560802
5,21,3.304070683879752e+18,-9.46824562806976e+16,666011442422471.6,33130160341.60964,-7242395661.34775,-20570567.055779807,32282.199003599577,630.8941057132505,4.1262696827884175
5,22,5.326776118594715e+18,-1.0914671297427566e+17,560432990148050.44,672672922022.9391,-5784775628.678349,-23334795.627486598,11432.13412255269,596.9698814648872,4.308759566493218
